2020-12-22 11:34:07 : insert into mb_master_group set `id_user` = '0', `group_code` = '105', `start` = '10500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '10500000', `default_end` = '10599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:34:07', `date_added` = '2020-12-22 11:34:07', `date_modify` = '2020-12-22 11:34:07'
2020-12-22 11:35:51 : insert into mb_master_group set `id_user` = '0', `group_code` = '105', `start` = '10500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '10500000', `default_end` = '10599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:35:51', `date_added` = '2020-12-22 11:35:51', `date_modify` = '2020-12-22 11:35:51'
2020-12-22 11:36:09 : insert into mb_master_group set `id_user` = '0', `group_code` = '115', `start` = '11500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '11500000', `default_end` = '11599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:36:09', `date_added` = '2020-12-22 11:36:09', `date_modify` = '2020-12-22 11:36:09'
2020-12-22 11:36:55 : insert into mb_master_group set `id_user` = '0', `group_code` = '105', `start` = '10500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '10500000', `default_end` = '10599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:36:55', `date_added` = '2020-12-22 11:36:55', `date_modify` = '2020-12-22 11:36:55'
2020-12-22 11:36:55 : insert into mb_master_group set `id_user` = '0', `group_code` = '115', `start` = '11500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '11500000', `default_end` = '11599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:36:55', `date_added` = '2020-12-22 11:36:55', `date_modify` = '2020-12-22 11:36:55'
2020-12-22 11:40:04 : insert into mb_master_group set `id_user` = '0', `group_code` = '105', `start` = '10500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '10500000', `default_end` = '10599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:40:04', `date_added` = '2020-12-22 11:40:04', `date_modify` = '2020-12-22 11:40:04'
2020-12-22 11:40:04 : insert into mb_master_group set `id_user` = '0', `group_code` = '115', `start` = '11500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '11500000', `default_end` = '11599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:40:04', `date_added` = '2020-12-22 11:40:04', `date_modify` = '2020-12-22 11:40:04'
2020-12-22 11:41:15 : insert into mb_master_group set `id_user` = '0', `group_code` = '105', `start` = '10500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '10500000', `default_end` = '10599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:41:15', `date_added` = '2020-12-22 11:41:15', `date_modify` = '2020-12-22 11:41:15'
2020-12-22 11:41:15 : insert into mb_master_group set `id_user` = '0', `group_code` = '115', `start` = '11500000', `end` = '0', `remaining_qty` = '50000', `default_start` = '11500000', `default_end` = '11599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `date_purchase` = '2020-12-22 11:41:15', `date_added` = '2020-12-22 11:41:15', `date_modify` = '2020-12-22 11:41:15'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '106', `start` = '10600000', `end` = '0', `remaining_qty` = '0', `default_start` = '10600000', `default_end` = '10699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '107', `start` = '10700000', `end` = '0', `remaining_qty` = '0', `default_start` = '10700000', `default_end` = '10799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
